[12] TAG: <span> | ARIA: 'Scroll Sheet Tabs Left' | TITLE: '' | TEXT: ''
[15] TAG: <span> | ARIA: 'Scroll Sheet Tabs Right' | TITLE: '' | TEXT: ''
[28] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Graduate Course Non-Completion Rate by Mode of Instruction'
[30] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Data Dictionary'
[32] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Graduate Course Non-Completion Rate by Section and Instructo'
[34] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Course Sections Taught by Faculty Type'
[36] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Grade Distribution Dashboard'
[38] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Download Data'
[40] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'SPOTs'
[42] TAG: <span> | ARIA: '' | TITLE: '' | TEXT: 'Grade Distribution Dashboard'
[44] TAG: <h3> | ARIA: '' | TITLE: 'Session Code' | TEXT: ''
[48] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[51] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[54] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[57] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[64] TAG: <h3> | ARIA: '' | TITLE: 'College/School' | TEXT: ''
[68] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[71] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[74] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[77] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[83] TAG: <h3> | ARIA: '' | TITLE: 'Department' | TEXT: ''
[87] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[90] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[93] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[96] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[102] TAG: <h3> | ARIA: '' | TITLE: 'Course Program' | TEXT: ''
[106] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[109] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[112] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[115] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[121] TAG: <h3> | ARIA: '' | TITLE: 'Campus' | TEXT: ''
[125] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[128] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[131] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[134] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[140] TAG: <h3> | ARIA: '' | TITLE: 'Location Name' | TEXT: ''
[144] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[147] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[150] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[153] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[160] TAG: <h3> | ARIA: '' | TITLE: 'Course Level' | TEXT: ''
[164] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[167] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[170] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
[173] TAG: <span> | ARIA: '' | TITLE: 'Show Quick Filter Context Menu' | TEXT: ''
[179] TAG: <h3> | ARIA: '' | TITLE: 'Funding Status' | TEXT: ''
[183] TAG: <button> | ARIA: '' | TITLE: 'Showing All Values' | TEXT: ''
[186] TAG: <button> | ARIA: '' | TITLE: 'Search' | TEXT: ''
[189] TAG: <button> | ARIA: '' | TITLE: 'Only Relevant Values' | TEXT: ''
